,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,34,PF,1595116800,80,-23.1203,-134.9692,72.07,15.59
1,Tabou,9,CI,1595116800,87,4.423,-7.3528,75.74,6.82
2,Isla Vista,1,US,1595116800,54,34.4133,-119.861,77.4,8.66
3,Vaini,87,TO,1595116800,91,-21.2,-175.2,75.81,19.98
4,Yellowknife,10,CA,1595116800,48,62.456,-114.3525,70.02,12.01
5,Vyartsilya,27,RU,1595116800,72,62.1764,30.693,59.59,2.17
6,Kapaa,46,US,1595116800,72,22.0752,-159.319,83.12,11.77
7,Ushuaia,75,AR,1595116800,91,-54.8,-68.3,30.15,0.29
8,‘Āhuimanu,54,US,1595116800,76,21.4447,-157.8378,82.04,13.06
9,Dingle,92,PH,1595116800,82,10.9995,122.6711,81.64,2.84
10,Faanui,92,PF,1595116800,84,-16.4833,-151.75,75.29,19.6
11,Kahului,28,US,1595116800,57,20.8947,-156.47,83.41,14.72
12,Busselton,59,AU,1595116800,76,-33.65,115.3333,54.45,3.8
13,Bredasdorp,0,ZA,1595116800,89,-34.5322,20.0403,53.11,3.89
14,East London,0,ZA,1595116800,46,-33.0153,27.9116,64.53,9.69
15,Pangnirtung,50,CA,1595116800,57,66.1451,-65.7125,56.57,2.21
16,Hithadhoo,100,MV,1595116800,73,-0.6,73.0833,83.07,20.62
17,Bauchi,98,NG,1595116800,87,10.5,10.0,71.92,1.99
18,Yorkton,23,CA,1595116800,62,51.2167,-102.4677,71.31,11.45
19,Salalah,87,OM,1595116800,84,17.0151,54.0924,81.63,7.05
20,Albany,42,US,1595116800,49,42.6001,-73.9662,83.41,3.38
21,Yerbogachën,21,RU,1595116800,90,61.2767,108.0108,52.56,5.19
22,Burns Lake,91,CA,1595116800,55,54.2331,-125.7533,68.61,9.37
23,Ilulissat,100,GL,1595116800,43,69.2167,-51.1,51.8,4.92
24,Talcahuano,94,CL,1595116800,88,-36.7167,-73.1167,56.14,15.19
25,Halifax,20,CA,1595116800,81,44.6453,-63.5724,71.11,3.69
26,Torbay,79,CA,1595116800,62,47.6666,-52.7314,59.32,4.0
27,Zhigansk,5,RU,1595116800,83,66.7697,123.3711,62.74,11.65
28,Ancud,95,CL,1595116800,91,-41.8697,-73.8203,51.1,10.38
29,Mataura,0,NZ,1595116800,72,-46.1927,168.8643,46.49,1.32
30,Qaanaaq,93,GL,1595116800,67,77.484,-69.3632,49.01,2.15
31,Kavieng,97,PG,1595116800,73,-2.5744,150.7967,83.37,6.87
32,Sola,80,VU,1595116800,80,-13.8833,167.55,79.48,2.95
33,Hermanus,0,ZA,1595116800,87,-34.4187,19.2345,55.78,5.53
34,Tahe,34,CN,1595116800,73,52.3333,124.7333,77.13,12.82
35,Butaritari,4,KI,1595116800,77,3.0707,172.7902,82.96,13.06
36,Verāval,54,IN,1595116800,82,20.9,70.3667,83.68,15.5
37,Glasgow,81,GB,1595116800,78,55.8652,-4.2576,51.69,6.04
38,Bluff,0,NZ,1595116800,71,-46.6,168.3333,43.74,6.15
39,Oranjemund,0,NA,1595116800,36,-28.55,16.4333,60.85,5.32
40,Kedrovyy,35,RU,1595116800,85,56.1667,91.8167,54.91,0.36
41,Upernavik,0,GL,1595116800,54,72.7868,-56.1549,48.36,5.86
42,Farah,0,AF,1595116800,26,32.5,62.5,75.07,5.48
43,Cape Town,0,ZA,1595116800,91,-33.9258,18.4232,57.11,4.7
44,New Norfolk,50,AU,1595116800,75,-42.7826,147.0587,51.87,3.06
45,Worcester,14,US,1595116800,54,42.3334,-71.8328,80.87,3.67
46,Kutum,26,SD,1595116800,59,14.2,24.6667,76.6,6.11
47,Puerto Ayora,81,EC,1595116800,84,-0.7393,-90.3518,70.07,9.15
48,Hong Kong,78,HK,1595116800,78,22.2855,114.1577,85.15,13.0
49,Hobart,58,AU,1595116800,74,-42.8794,147.3294,52.72,5.53
50,Chara,100,RU,1595116800,82,56.9064,118.2631,53.62,6.44
51,Cabo San Lucas,3,MX,1595116800,54,22.8909,-109.9124,86.5,8.72
52,Punta Arenas,69,CL,1595116800,88,-53.15,-70.9167,33.67,7.29
53,Najrān,69,SA,1595116800,23,17.4924,44.1277,85.8,6.85
54,Castro,8,BR,1595116800,86,-24.7911,-50.0119,60.6,3.78
55,Kamenka,0,RU,1595116800,94,51.3223,42.7678,57.96,4.47
56,Tanete,99,ID,1595116800,91,-3.9443,119.7848,76.5,5.93
57,Thompson,84,CA,1595116800,50,55.7435,-97.8558,69.39,4.79
58,Haines Junction,67,CA,1595116800,41,60.7522,-137.5108,69.64,7.96
59,Port Alfred,0,ZA,1595116800,72,-33.5906,26.891,61.07,11.21
60,Ambilobe,6,MG,1595116800,67,-13.2,49.05,62.29,4.32
61,Dhārchula,99,IN,1595116800,76,29.85,80.5333,70.79,0.78
62,Constitución,86,CL,1595116800,85,-35.3333,-72.4167,55.98,13.56
63,Champerico,25,GT,1595116800,64,14.3,-91.9167,88.93,4.03
64,Rawson,96,AR,1595116800,80,-43.3002,-65.1023,46.15,10.78
65,Chokurdakh,0,RU,1595116800,47,70.6333,147.9167,59.07,13.31
66,Rio Grande,77,BR,1595116800,68,-32.035,-52.0986,71.2,9.95
67,San Quintín,2,MX,1595116800,65,30.4833,-115.95,74.95,17.0
68,Brae,17,GB,1595116800,84,60.3964,-1.353,53.1,17.18
69,Atherton,81,GB,1595116800,80,53.5237,-2.4935,56.07,6.13
70,Dikson,100,RU,1595116800,94,73.5069,80.5464,39.58,6.29
71,Srednekolymsk,0,RU,1595116800,57,67.45,153.6833,62.8,6.2
72,La Libertad,74,EC,1595116800,88,-2.2333,-80.9,69.96,13.04
73,Klaksvík,53,FO,1595116800,88,62.2266,-6.589,49.62,13.62
74,Avarua,76,CK,1595116800,76,-21.2078,-159.775,72.41,15.23
75,Wanning,77,CN,1595116800,80,18.8003,110.3967,84.47,14.12
76,Caravelas,80,BR,1595116800,75,-17.7125,-39.2481,70.97,7.85
77,Kiryat Gat,0,IL,1595116800,76,31.61,34.7642,70.68,1.74
78,Port Shepstone,0,ZA,1595116800,30,-30.7414,30.455,64.94,6.29
79,Giulianova,0,IT,1595116800,47,42.7612,13.9537,63.93,9.89
80,Port Macquarie,50,AU,1595116800,81,-31.4333,152.9167,61.14,4.09
81,Härnösand,37,SE,1595116800,77,62.6323,17.9379,63.88,11.16
82,Bethanien,0,NA,1595116800,33,-26.502,17.1583,56.21,9.37
83,Chui,83,UY,1595116800,91,-33.6971,-53.4616,64.81,6.33
84,San Felipe,96,VE,1595116800,87,10.3399,-68.7425,77.74,2.35
85,Karpathos,0,GR,1595116800,76,35.507,27.2132,73.63,14.7
86,Bonavista,99,CA,1595116800,67,48.6499,-53.1147,54.73,2.75
87,Hambantota,82,LK,1595116800,82,6.1241,81.1185,79.47,12.26
88,Tasiilaq,19,GL,1595116800,65,65.6145,-37.6368,44.6,4.79
89,Severo-Kuril'sk,67,RU,1595116800,84,50.6789,156.125,54.14,12.03
90,Port Lincoln,52,AU,1595116800,69,-34.7333,135.8667,55.89,22.35
91,Sulangan,99,PH,1595116800,72,11.1373,123.7228,83.25,7.43
92,Tual,65,ID,1595116800,81,-5.6667,132.75,78.58,16.93
93,Luoyang,98,CN,1595116800,39,34.6836,112.4536,73.44,7.58
